batch_id,participant_id,worker_id,lobby_index,question,facet,answer,time_taken,complete,failed
batch-0617,1,5b16e1a5457ace0001b40d46,1,Is reserved.,Friendliness,4.0,4.253,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,2,Is generally trusting.,Trust,4.0,,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,3,Tends to be lazy.,Self-Efficacy,4.0,,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,4,"Is relaxed, handles stress well.",Anxiety,4.0,,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,5,Has few artistic interests.,Imagination,4.0,,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,6,"Is outgoing, sociable.",Gregariousness,4.0,,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,7,Tends to find fault with others.,Morality,4.0,,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,8,Does a thorough job.,Orderliness,4.0,,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,9,Gets nervous easily.,Anger,4.0,,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,10,Has an active imagination.,Artistic Interests,4.0,,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,11,experiences my emotions intensely.,Emotionality,4.0,,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,12,wastes my time.,Self-Discipline,4.0,,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,13,Rarely overindulges.,Immoderation,4.0,,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,14,is concerned about others.,Altruism,4.0,,True,False
batch-0617,1,5b16e1a5457ace0001b40d46,15,uses others for my own ends.,Morality,4.0,,True,False
batch-0617,2,69d5801af14cddbf0b60b59d,1,Is reserved.,Friendliness,4.0,27.217,True,False
batch-0617,3,675a69d88d29359682bcd4ec,1,Is reserved.,Friendliness,3.0,10.311,True,False
batch-0617,4,69c0ae59e7e1aabc3d03cc78,1,Is reserved.,Friendliness,3.0,12.435,True,False
batch-0617,5,6629517257384969d8995d78,1,Is reserved.,Friendliness,2.0,16.59,True,False
batch-0617,6,5a8f13595292b80001235e09,1,Is reserved.,Friendliness,2.0,3.385,True,False
batch-0617,6,5a8f13595292b80001235e09,2,Is generally trusting.,Trust,2.0,,True,False
batch-0617,6,5a8f13595292b80001235e09,3,Tends to be lazy.,Self-Efficacy,2.0,,True,False
batch-0617,6,5a8f13595292b80001235e09,4,"Is relaxed, handles stress well.",Anxiety,2.0,,True,False
batch-0617,6,5a8f13595292b80001235e09,5,Has few artistic interests.,Imagination,2.0,,True,False
batch-0617,6,5a8f13595292b80001235e09,6,"Is outgoing, sociable.",Gregariousness,2.0,,True,False
batch-0617,6,5a8f13595292b80001235e09,7,Tends to find fault with others.,Morality,2.0,,True,False
batch-0617,6,5a8f13595292b80001235e09,8,Does a thorough job.,Orderliness,2.0,,True,False
batch-0617,6,5a8f13595292b80001235e09,9,Gets nervous easily.,Anger,2.0,,True,False
